client,last_visit,visits,unique_visits,amount,quantity,items,weekends,Recency,Frequency,Monetary,avg_check,avg_items,last_visit_amount,event
client10392,2019-08-08,59,14,18885,89,55,34,24,14,18885,1348.9285714285713,6.357142857142857,1323,False
client10393,2019-08-06,24,4,7656,35,24,0,26,4,7656,1914.0,8.75,1929,False
client10395,2019-07-09,23,8,14315,41,22,2,54,8,14315,1789.375,5.125,518,False
client10396,2018-04-29,1,1,4335,5,1,1,490,1,4335,4335.0,5.0,4335,False
client10397,2019-08-06,54,17,23720,92,44,16,26,17,23720,1395.2941176470588,5.411764705882353,258,False
client10398,2018-12-17,16,5,3684,44,16,5,258,5,3684,736.8,8.8,65,False
client10399,2019-07-29,67,23,18980,114,61,46,34,23,18980,825.2173913043479,4.956521739130435,125,False
client104,2019-07-20,11,2,2096,13,11,11,43,2,2096,1048.0,6.5,104,False
client1040,2018-11-29,8,3,3169,24,8,0,276,3,3169,1056.3333333333333,8.0,79,False
client10400,2019-08-05,16,7,6390,22,16,4,27,7,6390,912.8571428571429,3.142857142857143,119,False
client10401,2019-04-27,2,2,1904,2,2,2,127,2,1904,952.0,1.0,405,False
client10402,2018-07-22,1,1,4999,1,1,1,406,1,4999,4999.0,1.0,4999,False
client10403,2019-06-26,25,8,6017,46,23,4,67,8,6017,752.125,5.75,59,False
client10404,2019-08-25,300,89,36115,389,250,83,7,89,36115,405.7865168539326,4.370786516853933,30,True
client10405,2019-04-20,28,3,5132,32,28,25,134,3,5132,1710.6666666666667,10.666666666666666,1490,True
client10406,2019-08-13,5,2,1110,5,5,0,19,2,1110,555.0,2.5,86,False
client10407,2018-07-19,6,3,2006,6,6,0,409,3,2006,668.6666666666666,2.0,25,False
client10408,2019-08-04,51,11,3467,72,48,7,28,11,3467,315.1818181818182,6.545454545454546,22,False
client10409,2019-07-27,11,3,16713,11,11,11,36,3,16713,5571.0,3.6666666666666665,28,False
client1041,2019-06-17,4,2,8266,4,4,0,76,2,8266,4133.0,2.0,218,False
client10410,2019-01-11,23,6,11815,43,23,7,233,6,11815,1969.1666666666667,7.166666666666667,42,False
