item,abc,xyz,abc_xyz
sku1806,C,Z,CZ
sku10837,C,X,CX
sku21652,C,Z,CZ
sku4821,C,Z,CZ
sku18440,C,Z,CZ
sku18577,C,Z,CZ
sku23920,C,Z,CZ
sku14785,C,Z,CZ
sku26343,C,Z,CZ
sku18398,C,X,CX
sku15703,C,Z,CZ
sku10332,C,Z,CZ
sku18936,C,Z,CZ
sku29300,C,Z,CZ
sku7326,C,Z,CZ
sku19051,C,Z,CZ
sku8451,C,Z,CZ
sku13296,C,X,CX
sku29837,C,X,CX
sku10035,C,Z,CZ
sku25839,C,Z,CZ
sku27343,C,Y,CY
sku22442,C,Y,CY
sku2273,C,Z,CZ
sku718,C,Z,CZ
sku27610,C,Y,CY
sku2704,C,X,CX
sku18731,C,X,CX
sku12300,C,Z,CZ
sku9302,C,Z,CZ
sku14993,C,Z,CZ
sku1493,C,Z,CZ
sku18995,C,Z,CZ
sku9673,C,X,CX
sku3933,C,Z,CZ
sku7369,C,X,CX
sku28447,C,Z,CZ
sku11174,C,Z,CZ
sku22935,C,X,CX
sku11003,C,Z,CZ
sku30363,C,X,CX
sku8226,C,Z,CZ
sku5333,C,Z,CZ
sku18803,C,Z,CZ
sku26951,C,X,CX
sku4008,C,Z,CZ
sku13774,C,Z,CZ
sku15301,C,X,CX
sku15850,C,Z,CZ
sku527,C,X,CX
sku24353,C,Z,CZ
sku26035,C,Z,CZ
sku10584,C,X,CX
sku19943,C,Z,CZ
sku3556,C,Z,CZ
sku12376,C,Z,CZ
sku8344,C,Z,CZ
sku23852,C,X,CX
sku25717,C,Z,CZ
sku19762,C,Z,CZ
sku15173,C,X,CX
sku24898,C,Z,CZ
