item,abc,xyz,abc_xyz
sku13443,C,Z,CZ
sku9328,C,Z,CZ
sku27233,C,Z,CZ
sku29134,C,Z,CZ
sku12089,C,Z,CZ
sku6713,C,Z,CZ
sku20551,C,Z,CZ
sku5623,C,X,CX
sku7230,C,Z,CZ
sku1637,C,Z,CZ
sku15609,C,Z,CZ
sku29429,C,Z,CZ
sku16332,C,Z,CZ
sku18909,C,Y,CY
sku28077,C,Z,CZ
sku19124,C,X,CX
sku3318,C,X,CX
sku25652,C,Z,CZ
sku11487,C,Z,CZ
sku13131,C,X,CX
sku10851,C,Z,CZ
sku28063,C,X,CX
sku10433,C,Z,CZ
sku15287,C,X,CX
sku5724,C,Z,CZ
sku9223,C,X,CX
sku19070,C,Z,CZ
sku2068,C,X,CX
sku14672,C,Z,CZ
sku1173,C,Z,CZ
sku21095,C,X,CX
sku3509,C,Z,CZ
sku25614,C,Z,CZ
sku1791,C,X,CX
sku21589,C,Z,CZ
sku14027,C,Z,CZ
sku6310,C,X,CX
sku8850,C,X,CX
sku15635,C,X,CX
sku8998,C,X,CX
sku18760,C,Z,CZ
sku10313,C,Z,CZ
sku19277,C,Z,CZ
sku17520,C,X,CX
sku28081,C,Z,CZ
sku3159,C,Z,CZ
sku25809,C,Z,CZ
sku16962,C,Z,CZ
sku12434,C,Z,CZ
sku24645,C,X,CX
sku20699,C,Z,CZ
sku10629,C,Z,CZ
sku16616,C,X,CX
sku6190,C,Z,CZ
sku27860,C,X,CX
sku27912,C,Z,CZ
sku19233,C,Z,CZ
sku3222,C,Z,CZ
sku13584,C,Z,CZ
sku21238,C,X,CX
sku6959,C,Z,CZ
sku20221,C,Z,CZ
sku10347,C,Z,CZ
sku10669,C,Z,CZ
sku27016,C,Z,CZ
sku11314,C,X,CX
sku17620,C,X,CX
sku2138,C,Z,CZ
sku16174,C,X,CX
sku28553,C,X,CX
sku26582,C,Z,CZ
sku29970,C,Z,CZ
sku2286,C,Z,CZ
sku2571,C,Z,CZ
sku23209,C,Z,CZ
sku19691,C,Z,CZ
sku24457,C,Z,CZ
sku2733,C,Z,CZ
sku9618,C,Z,CZ
sku2182,C,Z,CZ
sku19458,C,Z,CZ
sku26893,C,Z,CZ
sku10182,C,Z,CZ
sku1011,C,X,CX
sku25410,C,X,CX
sku10965,C,X,CX
sku17675,C,X,CX
sku3435,C,Z,CZ
sku24081,C,X,CX
sku243,C,Z,CZ
sku29228,C,Z,CZ
sku11608,C,X,CX
sku17309,C,Z,CZ
sku11060,C,Z,CZ
sku27493,C,Z,CZ
sku2230,C,Z,CZ
sku6651,C,Z,CZ
sku4406,C,Z,CZ
sku24187,C,Z,CZ
sku25855,C,Z,CZ
sku29880,C,Z,CZ
sku19173,C,X,CX
sku27687,C,X,CX
sku2191,C,Z,CZ
sku25292,C,Z,CZ
sku12829,C,Z,CZ
sku23334,C,Y,CY
sku19137,C,Y,CY
sku6896,C,X,CX
sku8843,C,X,CX
sku17828,C,Z,CZ
sku16906,C,Z,CZ
sku25825,C,Z,CZ
sku12787,C,X,CX
sku22271,C,X,CX
sku20247,C,Z,CZ
sku28100,C,Z,CZ
sku455,C,Z,CZ
sku21972,C,Z,CZ
sku4985,C,Z,CZ
sku7972,C,Z,CZ
sku3251,C,Z,CZ
sku22760,C,Z,CZ
sku28439,C,Z,CZ
sku27712,C,Z,CZ
sku2870,C,Z,CZ
sku22287,C,Z,CZ
sku26540,C,Z,CZ
sku1439,C,X,CX
sku26488,C,Z,CZ
sku4368,C,Z,CZ
sku30448,C,Z,CZ
sku9584,C,X,CX
sku7815,C,X,CX
sku15471,C,Z,CZ
sku909,C,Z,CZ
sku1944,C,Z,CZ
sku7095,C,Y,CY
sku20168,C,Z,CZ
sku17540,C,Z,CZ
sku30366,C,Z,CZ
sku15689,C,X,CX
sku15187,C,Z,CZ
sku13132,C,Y,CY
sku4254,C,Z,CZ
sku17610,C,Z,CZ
sku18725,C,Z,CZ
sku27847,C,Y,CY
sku29315,C,Z,CZ
sku28836,C,Z,CZ
sku1517,C,X,CX
sku18762,C,X,CX
sku18809,C,Z,CZ
sku30107,C,Z,CZ
sku9083,C,X,CX
sku25030,C,Z,CZ
sku7575,C,Z,CZ
sku28125,C,Z,CZ
sku13986,C,Z,CZ
sku13553,C,X,CX
sku21249,C,X,CX
sku24797,C,X,CX
sku28219,C,Y,CY
sku4324,C,X,CX
sku28186,C,X,CX
sku13177,C,Z,CZ
sku15632,C,Z,CZ
sku29671,C,Z,CZ
sku26262,C,Z,CZ
sku25445,C,Z,CZ
sku18963,C,Z,CZ
sku28967,C,Z,CZ
sku9918,C,Z,CZ
sku25645,C,X,CX
sku19446,C,Z,CZ
sku8660,C,Z,CZ
sku7983,C,Z,CZ
sku19280,C,Y,CY
sku2137,C,Z,CZ
sku12036,C,X,CX
sku21261,C,Z,CZ
sku28595,C,Z,CZ
sku7797,C,Z,CZ
sku10819,C,Z,CZ
sku9029,C,X,CX
sku11671,C,Y,CY
sku16013,C,Y,CY
sku14371,C,Z,CZ
sku21741,C,Y,CY
sku18628,C,X,CX
sku8239,C,Z,CZ
sku17494,C,Z,CZ
sku8885,C,Z,CZ
sku20022,C,Z,CZ
sku13428,C,Z,CZ
sku13657,C,X,CX
sku23406,C,Y,CY
sku18872,C,Z,CZ
sku10977,C,Z,CZ
sku27268,C,X,CX
sku11149,C,Z,CZ
sku25120,C,X,CX
sku27637,C,Z,CZ
sku14164,C,Z,CZ
sku21837,C,Z,CZ
sku19209,C,Z,CZ
sku7169,C,Z,CZ
sku25887,C,Z,CZ
sku5298,C,Z,CZ
sku22540,C,X,CX
sku16945,C,Z,CZ
sku10453,C,Z,CZ
sku29372,C,Z,CZ
sku5721,C,X,CX
sku4347,C,Z,CZ
sku23769,C,X,CX
sku7437,C,Z,CZ
sku14869,C,Z,CZ
sku28622,C,X,CX
sku13980,C,Z,CZ
sku25828,C,Z,CZ
sku12138,C,Z,CZ
sku1053,C,Z,CZ
sku26983,C,Z,CZ
sku16792,C,X,CX
sku21452,C,Z,CZ
sku30203,C,Z,CZ
sku7906,C,Z,CZ
sku16016,C,X,CX
sku13963,C,Z,CZ
sku16452,C,Z,CZ
sku25832,C,Z,CZ
sku5354,C,X,CX
sku19512,C,Z,CZ
sku27845,C,Z,CZ
sku7409,C,X,CX
sku29977,C,Z,CZ
sku9740,C,Z,CZ
sku4908,C,Z,CZ
sku29621,C,X,CX
sku11016,C,Z,CZ
sku14763,C,X,CX
sku29910,C,Z,CZ
sku13111,C,X,CX
sku15017,C,Z,CZ
sku7942,C,Z,CZ
sku27381,C,Z,CZ
sku4215,C,Z,CZ
sku18142,C,X,CX
sku2037,C,Z,CZ
sku21040,C,Z,CZ
sku21675,C,Z,CZ
sku26780,C,Z,CZ
sku25952,C,Z,CZ
sku10208,C,Z,CZ
sku9317,C,X,CX
sku22409,C,Z,CZ
sku508,C,Z,CZ
sku6072,C,X,CX
sku29739,C,X,CX
sku13309,C,Z,CZ
