client,last_visit,visits,unique_visits,amount,quantity,items,weekends,Recency,Frequency,Monetary,avg_check,avg_items,last_visit_amount
client10545,2019-07-25,1,1,3999,1,1,0,68,1,3999,3999.0,1.0,3999
client10546,2019-08-21,35,7,22133,48,35,3,41,7,22133,3161.8571428571427,6.857142857142857,449
client10547,2019-08-04,2,2,1848,2,2,1,58,2,1848,924.0,1.0,349
client10548,2019-09-07,3,2,21188,3,3,2,24,2,21188,10594.0,1.5,1299
client10549,2019-09-26,111,20,99082,179,93,43,5,20,99082,4954.1,8.95,398
client1055,2017-11-30,7,1,843,10,7,0,670,1,843,843.0,10.0,338
client10550,2018-07-29,1,1,3999,1,1,1,429,1,3999,3999.0,1.0,3999
client10551,2019-03-03,4,3,812,12,4,3,212,3,812,270.6666666666667,4.0,49
client10552,2019-04-01,7,5,3603,7,7,4,183,5,3603,720.6,1.4,1299
client10553,2018-05-19,2,1,11551,7,2,2,500,1,11551,11551.0,7.0,1794
client10554,2017-11-08,4,1,206,7,4,0,692,1,206,206.0,7.0,26
client10555,2019-07-22,26,3,2915,32,26,13,71,3,2915,971.6666666666666,10.666666666666666,559
client10556,2019-05-04,23,7,28747,79,22,6,150,7,28747,4106.714285714285,11.285714285714286,33
client10557,2019-02-26,16,2,1670,20,16,13,217,2,1670,835.0,10.0,29
client10558,2019-07-05,5,4,4888,9,5,1,88,4,4888,1222.0,2.25,1499
client10559,2019-08-24,6,3,3419,7,6,4,38,3,3419,1139.6666666666667,2.3333333333333335,29
client1056,2019-09-01,11,6,13905,23,11,5,30,6,13905,2317.5,3.8333333333333335,990
client10560,2019-09-19,24,5,8681,41,24,2,12,5,8681,1736.2,8.2,2798
client10561,2019-08-23,18,5,6143,45,17,10,39,5,6143,1228.6,9.0,1194
client10562,2018-12-02,8,3,14768,29,7,1,303,3,14768,4922.666666666667,9.666666666666666,6772
